Time [s]	gt_FA2TC_data.n_meas(W:0000E914h)
0.796	0.0303157
0.797	0.0296593
0.798	0.0298477
0.799	0.0301731
0.8	0.0303609
0.801	0.0303609
0.802	0.0293449
0.803	0.0292574
0.804	0.0295908
0.805	0.0297987
0.806	0.0295624
0.807	0.0290269
0.808	0.0288923
0.809	0.0291659
0.81	0.0297117
0.811	0.0297891
0.812	0.0292973
0.813	0.028963
0.814	0.0291725
0.815	0.0297755
0.816	0.0301958
0.817	0.0300594
0.818	0.0297612
0.819	0.0297612
0.82	0.029826
0.821	0.0302115
0.822	0.0305206
0.823	0.0303699
0.824	0.0299854
0.825	0.0297809
0.826	0.029994
0.827	0.0303095
0.828	0.0302669
0.829	0.0298867
0.83	0.0298867
0.831	0.0294173
0.832	0.0296385
0.833	0.0296241
0.834	0.0292258
0.835	0.028595
0.836	0.0283859
0.837	0.0286604
0.838	0.02921
0.839	0.0290006
0.84	0.0284455
0.841	0.0281474
0.842	0.0284104
0.843	0.0290442
0.844	0.0294374
0.845	0.0295196
0.846	0.0292988
0.847	0.029437
0.848	0.0298797
0.849	0.0304736
0.85	0.0305303
0.851	0.0301151
0.852	0.0298365
0.853	0.0299845
0.854	0.0303617
0.855	0.0306252
0.856	0.0304138
0.857	0.0297968
0.858	0.029495
0.859	0.029432
0.86	0.0295082
0.861	0.0295082
0.862	0.02905
0.863	0.0284751
0.864	0.0283737
0.865	0.0285692
0.866	0.028856
0.867	0.0287225
0.868	0.0283873
0.869	0.0283002
0.87	0.0284615
0.871	0.0289555
0.872	0.0294595
0.873	0.0296132
0.874	0.0296091
0.875	0.0296353
0.876	0.0296902
0.877	0.0298258
0.878	0.0300108
0.879	0.0300873
0.88	0.0297815
0.881	0.0295628
0.882	0.0294195
0.883	0.0295579
0.884	0.0297038
0.885	0.0294867
0.886	0.0291847
0.887	0.0287679
0.888	0.0286152
0.889	0.0288726
0.89	0.0290953
0.891	0.0288248
0.892	0.02838
0.893	0.028188
0.894	0.0284084
0.895	0.0289098
0.896	0.0291627
0.897	0.028982
0.898	0.0286336
0.899	0.0286846
0.9	0.0292735
0.901	0.0298632
0.902	0.0300269
0.903	0.0296451
0.904	0.0294567
0.905	0.029784
0.906	0.0304545
0.907	0.0308237
0.908	0.0306494
0.909	0.0299746
0.91	0.0297865
0.911	0.0303149
0.912	0.0309573
0.913	0.0310154
0.914	0.0303857
0.915	0.0295857
0.916	0.0293961
0.917	0.0299748
0.918	0.0304431
0.919	0.0304258
0.92	0.0295739
0.921	0.028882
0.922	0.0289965
0.923	0.0297681
0.924	0.0301712
0.925	0.029826
0.926	0.0289841
0.927	0.0285613
0.928	0.0291391
0.929	0.0303152
0.93	0.0309097
0.931	0.0305214
0.932	0.0297325
0.933	0.02966
0.934	0.0303282
0.935	0.031148
0.936	0.0312043
0.937	0.0305775
0.938	0.0297398
0.939	0.0297507
0.94	0.0304539
0.941	0.031057
0.942	0.030886
0.943	0.0300907
0.944	0.0293548
0.945	0.0295236
0.946	0.03029
0.947	0.0307834
0.948	0.0305378
0.949	0.029895
0.95	0.0293713
0.951	0.0299827
0.952	0.0299827
0.953	0.030968
0.954	0.0308223
0.955	0.0303768
0.956	0.0302594
0.957	0.030703
0.958	0.0314081
0.959	0.0318396
0.96	0.0313603
0.961	0.0305759
0.962	0.0303743
0.963	0.0307257
0.964	0.0313163
0.965	0.0314382
0.966	0.0309004
0.967	0.0303313
0.968	0.0301648
0.969	0.030489
0.97	0.03079
0.971	0.03079
0.972	0.0301663
0.973	0.0295832
0.974	0.0295924
0.975	0.0300766
0.976	0.0302661
0.977	0.0299379
0.978	0.0294082
0.979	0.0292397
0.98	0.0297184
0.981	0.0302647
0.982	0.0302932
0.983	0.0299257
0.984	0.0295427
0.985	0.0296405
0.986	0.030204
0.987	0.0307584
0.988	0.0307518
0.989	0.0303317
0.99	0.0300257
0.991	0.0302561
0.992	0.0308917
0.993	0.0312643
0.994	0.0310788
0.995	0.0303449
0.996	0.030016
0.997	0.0306644
0.998	0.0306644
0.999	0.0310594
1	0.0303258
1.001	0.0303258
1.002	0.0297163
1.003	0.0297163
1.004	0.0304822
1.005	0.0304822
1.006	0.029479
1.007	0.029479
1.008	0.0296649
1.009	0.0296649
1.01	0.0304067
1.011	0.0301645
1.012	0.0301645
1.013	0.0299558
1.014	0.0305052
1.015	0.0310216
1.016	0.0310216
1.017	0.0303148
1.018	0.0296483
1.019	0.0295896
1.02	0.0303233
1.021	0.0305339
1.022	0.0302088
1.023	0.0296699
1.024	0.0292955
1.025	0.0293201
1.026	0.0297377
1.027	0.0297833
1.028	0.0297833
1.029	0.0289048
1.03	0.0288648
1.031	0.0292199
1.032	0.0296205
1.033	0.029712
1.034	0.0294533
1.035	0.029227
1.036	0.0295548
1.037	0.0302297
1.038	0.030679
1.039	0.0307216
1.04	0.0304495
1.041	0.0304221
1.042	0.0304579
1.043	0.0306698
1.044	0.0309542
1.045	0.0309542
1.046	0.0305593
1.047	0.0301719
1.048	0.0302749
1.049	0.0306724
1.05	0.0307016
1.051	0.03032
1.052	0.0298672
1.053	0.0295795
