Time [s]	gt_FA2TC_data.n_meas(W:0000EED4h)	
0.398	0.0302214	
0.399	0.0299498	
0.400	0.0296231	
0.401	0.029517	
0.402	0.0297764	
0.403	0.0299152	
0.404	0.0297627	
0.405	0.0295588	
0.406	0.0292568	
0.407	0.0293205	
0.408	0.029311	
0.409	0.0294152	
0.410	0.0293058	
0.411	0.029192	
0.412	0.0293129	
0.413	0.0295035	
0.414	0.0295025	
0.415	0.0296361	
0.416	0.0295683	
0.417	0.0294672	
0.418	0.0292488	
0.419	0.0293136	
0.420	0.0296693	
0.421	0.0302752	
0.422	0.0303953	
0.423	0.0297565	
0.424	0.0290985	
0.425	0.0291408	
0.426	0.0299059	
0.427	0.0305262	
0.428	0.0304294	
0.429	0.0298459	
0.430	0.0293061	
0.431	0.0296385	
0.432	0.0303124	
0.433	0.0304047	
0.434	0.0298145	
0.435	0.0294917	
0.436	0.0297669	
0.437	0.0303932	
0.438	0.0303898	
0.439	0.0299431	
0.440	0.0295988	
0.441	0.029766	
0.442	0.0303796	
0.443	0.0303796	
0.444	0.0301102	
0.445	0.0297206	
0.446	0.0299943	
0.447	0.0303015	
0.448	0.0301307	
0.449	0.029572	
0.450	0.0295492	
0.451	0.0295492	
0.452	0.0300917	
0.453	0.0300917	
0.454	0.0294012	
0.455	0.0292506	
0.456	0.0292506	
0.457	0.0299988	
0.458	0.0299988	
0.459	0.0294392	
0.460	0.0294392	
0.461	0.0296235	
0.462	0.0301473	
0.463	0.0301473	
0.464	0.0297211	
0.465	0.0297211	
0.466	0.0298235	
0.467	0.0298235	
0.468	0.0305767	
0.469	0.0302698	
0.470	0.0297867	
0.471	0.0296509	
0.472	0.0299064	
0.473	0.0304985	
0.474	0.0304985	
0.475	0.0300171	
0.476	0.0297009	
0.477	0.0297197	
0.478	0.0300599	
0.479	0.0303578	
0.480	0.0305001	
0.481	0.030085	
0.482	0.0296479	
0.483	0.0296398	
0.484	0.0303326	
0.485	0.0308169	
0.486	0.0306622	
0.487	0.0300928	
0.488	0.0296025	
0.489	0.0298532	
0.490	0.0305409	
0.491	0.0306414	
0.492	0.0301324	
0.493	0.0296944	
0.494	0.0297922	
0.495	0.0301365	
0.496	0.0301963	
0.497	0.0299467	
0.498	0.0297599	
0.499	0.0298844	
0.500	0.0301215	
0.501	0.0300659	
0.502	0.029798	
0.503	0.0298255	
0.504	0.0300699	
0.505	0.0303265	
0.506	0.0303265	
0.507	0.029717	
0.508	0.0296407	
0.509	0.0301846	
0.510	0.0307889	
0.511	0.0307485	
0.512	0.0303614	
0.513	0.0299415	
0.514	0.0299129	
0.515	0.0303089	
0.516	0.0307809	
0.517	0.0308131	
0.518	0.0305044	
0.519	0.0302991	
0.520	0.0303865	
0.521	0.0304618	
0.522	0.0305059	
0.523	0.0305357	
0.524	0.0305678	
0.525	0.0305114	
0.526	0.0301629	
0.527	0.0298993	
0.528	0.0299992	
0.529	0.0305228	
0.530	0.0307752	
0.531	0.0306453	
0.532	0.0300373	
0.533	0.0297337	
0.534	0.0299047	
0.535	0.0304337	
0.536	0.0305517	
0.537	0.0301476	
0.538	0.0297255	
0.539	0.0297611	
0.540	0.0302905	
0.541	0.030557	
0.542	0.0303739	
0.543	0.0298935	
0.544	0.0297907	
0.545	0.0300906	
0.546	0.0305429	
0.547	0.030426	
0.548	0.029923	
0.549	0.0296507	
0.550	0.0299328	
0.551	0.0302793	
0.552	0.0303085	
0.553	0.0299504	
0.554	0.0296451	
0.555	0.0298015	
0.556	0.0298015	
0.557	0.0297586	
0.558	0.0297586	
0.559	0.0296585	
0.560	0.0297761	
0.561	0.0297761	
0.562	0.0301559	
0.563	0.0301559	
0.564	0.0299077	
0.565	0.0299077	
0.566	0.0300448	
0.567	0.0300448	
0.568	0.0308449	
0.569	0.0308449	
0.570	0.0299694	
0.571	0.0299694	
0.572	0.0301871	
0.573	0.0301871	
0.574	0.0307345	
0.575	0.0299864	
0.576	0.0294306	
0.577	0.0297823	
0.578	0.0303769	
0.579	0.0306961	
0.580	0.0303176	
0.581	0.0297487	
