Time [s]	gt_FA2TC_data.n_meas(W:0000EED4h)	
0.346	0.0350888	
0.347	0.0351465	
0.348	0.0351465	
0.349	0.0350299	
0.350	0.0350299	
0.351	0.0346331	
0.352	0.0344333	
0.353	0.0342888	
0.354	0.0341122	
0.355	0.033895	
0.356	0.0336502	
0.357	0.0336502	
0.358	0.033422	
0.359	0.033422	
0.360	0.0334155	
0.361	0.0334237	
0.362	0.0334241	
0.363	0.0335903	
0.364	0.0338932	
0.365	0.0340616	
0.366	0.0343155	
0.367	0.0345647	
0.368	0.0347462	
0.369	0.0352093	
0.370	0.0354894	
0.371	0.0354441	
0.372	0.0353776	
0.373	0.0356507	
0.374	0.0357564	
0.375	0.035574	
0.376	0.0352139	
0.377	0.0349347	
0.378	0.0348245	
0.379	0.0346609	
0.380	0.0341659	
0.381	0.0334576	
0.382	0.033104	
0.383	0.0330361	
0.384	0.0330825	
0.385	0.0328917	
0.386	0.0326027	
0.387	0.0324008	
0.388	0.0324465	
0.389	0.0328148	
0.390	0.0329533	
0.391	0.0329258	
0.392	0.0325695	
0.393	0.0327559	
0.394	0.0326686	
0.395	0.032348	
0.396	0.0323645	
0.397	0.032148	
0.398	0.0320212	
0.399	0.0319938	
0.400	0.0319245	
0.401	0.0313223	
0.402	0.030866	
0.403	0.0306097	
0.404	0.0305682	
0.405	0.0303452	
0.406	0.0299915	
0.407	0.029737	
0.408	0.0294932	
0.409	0.0293998	
0.410	0.0295674	
0.411	0.0296676	
0.412	0.0294388	
0.413	0.0295046	
0.414	0.0297336	
0.415	0.0301415	
0.416	0.030408	
0.417	0.030193	
0.418	0.0299718	
0.419	0.0299893	
0.420	0.0302127	
0.421	0.030339	
0.422	0.0300197	
0.423	0.0299289	
0.424	0.0298335	
0.425	0.029714	
0.426	0.0297877	
0.427	0.0295436	
0.428	0.0292529	
0.429	0.0288072	
0.430	0.0286877	
0.431	0.0285383	
0.432	0.0281447	
0.433	0.0279262	
0.434	0.0276763	
0.435	0.0273492	
0.436	0.0273628	
0.437	0.0273628	
0.438	0.0268021	
0.439	0.0268021	
0.440	0.027114	
0.441	0.027114	
0.442	0.0275059	
0.443	0.0275059	
0.444	0.0278102	
0.445	0.0278102	
0.446	0.0284568	
0.447	0.0288312	
0.448	0.0288312	
0.449	0.0289983	
0.450	0.0289983	
0.451	0.0298109	
0.452	0.0299466	
0.453	0.0299749	
0.454	0.0299991	
0.455	0.0301357	
0.456	0.0301357	
0.457	0.0301256	
0.458	0.0299269	
0.459	0.0296128	
0.460	0.02935	
0.461	0.0292586	
0.462	0.0292586	
0.463	0.0284206	
0.464	0.0280993	
0.465	0.0279978	
0.466	0.0278454	
0.467	0.0274641	
0.468	0.0272761	
0.469	0.0271754	
0.470	0.0275727	
0.471	0.027801	
0.472	0.027804	
0.473	0.0277034	
0.474	0.0278632	
0.475	0.0283104	
0.476	0.0283174	
0.477	0.0283174	
0.478	0.0284328	
0.479	0.0285465	
0.480	0.0286694	
0.481	0.0286418	
0.482	0.0284426	
0.483	0.0282338	
0.484	0.0282223	
0.485	0.0280344	
0.486	0.0276589	
0.487	0.0272792	
0.488	0.0270526	
0.489	0.0266743	
0.490	0.0263444	
0.491	0.0261655	
0.492	0.0260119	
0.493	0.0257953	
0.494	0.025652	
0.495	0.0254105	
0.496	0.0252096	
0.497	0.0252674	
0.498	0.0254704	
0.499	0.0256013	
0.500	0.0260009	
0.501	0.0261859	
0.502	0.0261537	
0.503	0.0263007	
0.504	0.0266373	
0.505	0.0271521	
0.506	0.0272907	
0.507	0.027333	
0.508	0.0273806	
0.509	0.0274821	
0.510	0.0278675	
0.511	0.0282302	
0.512	0.0280572	
0.513	0.0278398	
0.514	0.0280622	
0.515	0.0281894	
0.516	0.0280493	
0.517	0.0278452	
0.518	0.0276455	
0.519	0.0273106	
0.520	0.0274284	
0.521	0.0274333	
0.522	0.0271443	
0.523	0.0267378	
0.524	0.0267254	
0.525	0.0268355	
0.526	0.02677	
0.527	0.0267436	
0.528	0.0269794	
0.529	0.026975	
0.530	0.0274392	
0.531	0.027701	
0.532	0.0278264	
0.533	0.0282129	
0.534	0.0286899	
0.535	0.028915	
0.536	0.0293972	
0.537	0.0298785	
0.538	0.0303049	
0.539	0.030621	
0.540	0.0308251	
0.541	0.0312285	
0.542	0.0313592	
0.543	0.0315356	
0.544	0.031798	
0.545	0.0317271	
0.546	0.0315828	
0.547	0.0315828	
0.548	0.0316723	
0.549	0.0316004	
0.550	0.0316485	
0.551	0.0312681	
0.552	0.0311705	
0.553	0.0308848	
0.554	0.0309299	
0.555	0.0309498	
0.556	0.030834	
0.557	0.0308012	
0.558	0.0308167	
0.559	0.0310999	
0.560	0.0313192	
0.561	0.0317238	
